Model,Activation,Optimizer,Seq_Length,Grad_Clipping,Accuracy,F1,Epoch_Time(s),Final_Loss,History_Train_Loss,History_Val_Loss,Checkpoint
bidirectional_lstm,relu,adam,25,No,0.7297,0.7297,60.15,0.3708,"[0.6810159786125584, 0.6044388503369773, 0.5470791854669371, 0.5104599510083723, 0.48162110479515224, 0.4537572982861563, 0.43005530560946525, 0.4113653019032515, 0.39017356739705783, 0.37082741556265164]","[0.6334604713922877, 0.5745707469827989, 0.5546458718721824, 0.580458127857779, 0.6230663931392648, 0.6500546297491969, 0.7032791401266747, 0.825431686571187, 0.8711642859994299, 0.9408407706738738]",models\best_20251120_135836.pth
bidirectional_lstm,relu,adam,25,Yes,0.7256,0.7251,50.81,0.3672,"[0.6787419174333362, 0.6115718825012827, 0.5562891177737804, 0.5128949299416579, 0.48187480299064267, 0.4529083227486257, 0.43014223063769547, 0.4052841519303334, 0.3866612621204323, 0.36715825572800453]","[0.608665300566522, 0.5644831047643482, 0.5662002608065715, 0.614786626947353, 0.6889441711137362, 0.7845112385842806, 0.9162038653860312, 1.0196075767774107, 1.1717733627809284, 1.3630640393175433]",models\best_20251120_140129.pth
bidirectional_lstm,relu,adam,50,No,0.7808,0.7808,85.5,0.3184,"[0.6936756113301152, 0.6637288547690262, 0.5599524024349954, 0.4860254803200817, 0.4379096158477656, 0.4065773635149917, 0.3802704303656393, 0.3562542881311663, 0.3322949571263455, 0.3184178389151535]","[0.6503922570773097, 0.5745214467768169, 0.5381088447006767, 0.5274516810160463, 0.5154306279766895, 0.532591451597793, 0.5550097453091151, 0.651377491405248, 0.62336274861451, 0.6656661492479427]",models\best_20251120_140631.pth
bidirectional_lstm,relu,adam,50,Yes,0.7803,0.7803,78.19,0.3107,"[0.6890190253629709, 0.6150919333519533, 0.5277159016989076, 0.4740290635496454, 0.4339735646686895, 0.4032746727394936, 0.3732845293324622, 0.3513804808868777, 0.3272143000036554, 0.31072852942530454]","[0.6271090149269689, 0.5575841480051466, 0.5295552261878768, 0.5260686421447702, 0.5441369095155041, 0.5804864766119081, 0.638479653641086, 0.7625431316854704, 0.845616989876227, 0.9213494016405415]",models\best_20251120_141053.pth
bidirectional_lstm,relu,adam,100,No,0.8339,0.8339,147.39,0.2628,"[0.6925153268115295, 0.6457408393359245, 0.5525511519988174, 0.4685342707063841, 0.41060439956462597, 0.3691060388332133, 0.3371252086480408, 0.313488608440551, 0.28736684652393124, 0.2627775707494115]","[0.6922784123731696, 0.6912066325964525, 0.59335366817539, 0.48740271610372204, 0.4300383389605891, 0.4268750408402337, 0.4258288499396628, 0.43036944501082913, 0.48438505606387583, 0.514733565223339]",models\best_20251120_142129.pth
bidirectional_lstm,relu,adam,100,Yes,0.8328,0.8327,150.33,0.262,"[0.6922965548989718, 0.6646903937353807, 0.5251201117396964, 0.43312757765240684, 0.38153033362477634, 0.35232685324366747, 0.3242520544192065, 0.30479556949966397, 0.2810736764936953, 0.26199414597733706]","[0.6223766079644109, 0.5205591282118922, 0.4643911362990089, 0.4315110716559088, 0.4353139453455615, 0.45025147600552007, 0.5604163409327455, 0.5799570857925945, 0.6621826195355762, 0.6779665054367555]",models\best_20251120_143127.pth
bidirectional_lstm,relu,sgd,25,No,0.5116,0.5014,45.14,0.6935,"[0.6955411792411219, 0.6946229773866551, 0.694153330438887, 0.6938549616300237, 0.6937491000460847, 0.6937513927669476, 0.6939382136172956, 0.6932363067289142, 0.6933930660300243, 0.6935083576480446]","[0.6932571393906918, 0.6931903593223113, 0.6931432371249284, 0.6931109987866239, 0.6930891906513887, 0.6930746016142618, 0.6930611541356577, 0.6930499759781391, 0.6930414705782595, 0.6930332336279438]",models\best_20251120_143626.pth
bidirectional_lstm,relu,sgd,25,Yes,0.5033,0.4908,45.36,0.6936,"[0.6949710169106799, 0.6943983388373919, 0.6943979969110026, 0.6939376970691145, 0.6939281303711864, 0.6936727100625977, 0.6935081840171229, 0.6938418047050076, 0.6934221215412745, 0.6935834291645938]","[0.6932853111220748, 0.6932335835893441, 0.6931956863159414, 0.6931704345261654, 0.6931532523821077, 0.693143455878548, 0.693133880796335, 0.6931265251106008, 0.6931215445403858, 0.6931162335531181]",models\best_20251120_143907.pth
bidirectional_lstm,relu,sgd,50,No,0.5006,0.5937,82.39,0.6935,"[0.6953026182816157, 0.6942789585084257, 0.6941105781308831, 0.6941210446912615, 0.6935536321776602, 0.693911697096227, 0.6935672569457833, 0.6934943386660818, 0.6938265750322805, 0.6935292168346512]","[0.69327772867954, 0.6932254782723039, 0.6931909780063288, 0.6931696155339556, 0.6931521808704757, 0.693139692096759, 0.693130578455108, 0.6931251141116442, 0.693120698261139, 0.693117054222185]",models\best_20251120_144337.pth
bidirectional_lstm,relu,sgd,50,Yes,0.4998,0.5982,81.83,0.6932,"[0.695603569069177, 0.6942946337677939, 0.6943887958441244, 0.6940089544981641, 0.6937798691527618, 0.6935771064990012, 0.693633822681349, 0.6932462176398548, 0.6932948929879367, 0.6931818878406759]","[0.6934727455496483, 0.6933727943531388, 0.6933096234908189, 0.69326927251828, 0.693239136653788, 0.6932182654242991, 0.6932038170907199, 0.6931951672524748, 0.6931880541012415, 0.6931822488984793]",models\best_20251120_144804.pth
bidirectional_lstm,relu,sgd,100,No,0.4993,0.633,133.5,0.6934,"[0.6944846388933908, 0.6945538965180097, 0.694148864739996, 0.6938977483898172, 0.6937568799004226, 0.6936261861982858, 0.6934195455077969, 0.6936636410863198, 0.693444940516406, 0.6933946082049318]","[0.6933967817165053, 0.693292349272067, 0.6932267836292686, 0.6931867596438473, 0.6931582699956187, 0.6931372418275574, 0.6931246455825503, 0.6931141704854453, 0.6931073381315411, 0.693102237513608]",models\best_20251120_145546.pth
bidirectional_lstm,relu,sgd,100,Yes,0.4993,0.633,129.83,0.6931,"[0.6945810824861307, 0.6938790813888736, 0.6941754391126316, 0.6938199315534528, 0.6940352923577399, 0.6936468398936874, 0.6933613921827673, 0.6935900787410834, 0.6932777784517049, 0.6930866135508204]","[0.6931494059007796, 0.6930770816857857, 0.6930309282544324, 0.6930032562264397, 0.6929830876762605, 0.6929680679155432, 0.6929592867489056, 0.6929514157345228, 0.6929456022236963, 0.692941453145898]",models\best_20251120_150522.pth
